"","name","position","team","pos.avg","pos.sal.avg","pts.per.sal.avg","plyr.avg","plyr.sal.avg","plyr.pts.sd","plyr.sal.sd","pts.per.sal.sd","tier"
"142","Michael Floyd","WR","ARI",7.19852941176471,5558.08823529412,0.00169089344243212,8.86,5390,9.34504772157478,575.718104940628,0.00166131335982179,"tertiary"
"143","Joseph Randle","RB","DAL",6.94239130434783,5675,0.00168720228254717,11.5,6950,9.42621099875332,368.398948428562,0.00146902286692181,"tertiary"
"144","Jonathan Stewart","RB","CAR",5.78787878787879,5535.35353535354,0.00167893648628217,11.1454545454545,6672.72727272727,5.29684240436274,351.139474514688,0.000839925059941556,"tertiary"
"145","T.J. Yeldon","RB","JAC",5.78787878787879,5535.35353535354,0.00167892316017316,10.95,6540,3.47991576044096,172.740634112958,0.000583742222066459,"tertiary"
"146","Mike Nugent","K","CIN",7.76666666666667,4710,0.00167765186555658,7.81818181818182,4672.72727272727,2.60353972954428,82.4087868104268,0.000608202858764979,"tertiary"
"147","T.Y. Hilton","WR","IND",7.19852941176471,5558.08823529412,0.00167218536269816,12.4909090909091,7518.18181818182,8.24440505926014,284.028083744532,0.00112555969888858,"tertiary"
"148","Darren McFadden","RB","DAL",5.78787878787879,5535.35353535354,0.00166764623955466,10.7818181818182,6554.54545454545,5.61844949127591,657.112032620558,0.000976089170034572,"tertiary"
"149","Matt Forte","RB","CHI",5.78787878787879,5535.35353535354,0.00166676812087674,14.125,8400,6.56118099527746,298.151129758321,0.000756843840184992,"tertiary"
"150","Julius Thomas","TE","JAC",4.705,4910,0.00164805956248005,8.68571428571429,5357.14285714286,8.18501408801821,177.994674694192,0.00158984311608327,"tertiary"
"151","Latavius Murray","RB","OAK",5.78787878787879,5535.35353535354,0.00164290959029614,11.4181818181818,6972.72727272727,4.75103768605579,243.124575502802,0.000667004427108631,"tertiary"
"152","James Starks","RB","GNB",5.78787878787879,5535.35353535354,0.00163871097990606,9.37272727272727,5827.27272727273,7.4064199644703,440.911246625782,0.00137174484501475,"tertiary"
"153","Jeremy Langford","RB","CHI",5.78787878787879,5535.35353535354,0.00163575493452384,9.54545454545454,5272.72727272727,10.6698560270139,940.666712397321,0.00169306730426945,"tertiary"
"154","HOU Defense","DEF","HOU",6.1875,4521.875,0.0016223608768793,7.54545454545455,4700,7.33976992722409,192.055996121932,0.00150689628458364,"tertiary"
"155","Jacob Tamme","TE","ATL",4.705,4910,0.00162225095879379,7.95,4980,5.92345795483468,199.252611626865,0.00128149978588755,"tertiary"
"156","Anquan Boldin","WR","SFO",7.19852941176471,5558.08823529412,0.00161791741141805,9.97777777777778,6266.66666666667,6.20425430081184,366.323659439658,0.00102570758396096,"tertiary"
"157","Adam Vinatieri","K","IND",7.76666666666667,4710,0.00161744595323623,7.81818181818182,4890.90909090909,5.53033024173493,112.941997233568,0.00122713054465484,"tertiary"
"158","Matt Cassel","QB","DAL",14.9878048780488,6904.87804878049,0.00161585146782727,10.0966666666667,6300,7.10329713043068,95.6646969966649,0.00129008754566374,"tertiary"
